card_id,front,back,answer,russian,japanese,pos,imperfective,perfective,source_rounds,source_sections,tags,needs_review,include_in_app
app500_m0019,перевози́ть — перевезти́,"答え：運ぶ
品詞：動詞
不完了体：перевози́ть
完了体：перевезти́
出題回：62
文脈：動詞の体・時制選択",運ぶ,перевози́ть — перевезти́,運ぶ,動詞,перевози́ть,перевезти́,62,文法II,ロシア語2級;verb;動詞;第62回,要確認,候補
app500_m0020,расска́зывать — рассказа́ть,"答え：話す／語る
品詞：動詞
不完了体：расска́зывать
完了体：рассказа́ть
出題回：62
文脈：動詞の体・時制選択",話す／語る,расска́зывать — рассказа́ть,話す／語る,動詞,расска́зывать,рассказа́ть,62,文法II,ロシア語2級;verb;動詞;第62回,要確認,候補
app500_m0021,спо́рить — поспо́рить,"答え：議論する
品詞：動詞
不完了体：спо́рить
完了体：поспо́рить
出題回：62;64
文脈：動詞の体・時制選択",議論する,спо́рить — поспо́рить,議論する,動詞,спо́рить,поспо́рить,62;64,文法II,ロシア語2級;verb;動詞;複数回,要確認,候補
app500_m0022,станови́ться — стать,"答え：〜になる
品詞：動詞
不完了体：станови́ться
完了体：стать
出題回：62
文脈：動詞の体・時制選択",〜になる,станови́ться — стать,〜になる,動詞,станови́ться,стать,62,文法II,ロシア語2級;verb;動詞;第62回,要確認,候補
app500_m0023,улета́ть — улете́ть,"答え：飛び去る／出発する
品詞：動詞
不完了体：улета́ть
完了体：улете́ть
出題回：62
文脈：動詞の体・時制選択",飛び去る／出発する,улета́ть — улете́ть,飛び去る／出発する,動詞,улета́ть,улете́ть,62,文法II,ロシア語2級;verb;動詞;第62回,要確認,候補
app500_m0024,за́втракать — поза́втракать,"答え：朝食をとる
品詞：動詞
不完了体：за́втракать
完了体：поза́втракать
出題回：64
文脈：動詞の体・時制選択",朝食をとる,за́втракать — поза́втракать,朝食をとる,動詞,за́втракать,поза́втракать,64,文法II,ロシア語2級;verb;動詞;第64回,要確認,候補
app500_m0025,заезжа́ть — зае́хать,"答え：立ち寄る／車で入る
品詞：動詞
不完了体：заезжа́ть
完了体：зае́хать
出題回：64
文脈：動詞の体・時制選択",立ち寄る／車で入る,заезжа́ть — зае́хать,立ち寄る／車で入る,動詞,заезжа́ть,зае́хать,64,文法II,ロシア語2級;verb;動詞;第64回,要確認,候補
app500_m0026,нра́виться — понра́виться,"答え：気に入る
品詞：動詞
不完了体：нра́виться
完了体：понра́виться
出題回：64
文脈：動詞の体・時制選択",気に入る,нра́виться — понра́виться,気に入る,動詞,нра́виться,понра́виться,64,文法II,ロシア語2級;verb;動詞;第64回,要確認,候補
app500_m0027,объясня́ть — объясни́ть,"答え：説明する
品詞：動詞
不完了体：объясня́ть
完了体：объясни́ть
出題回：64
文脈：動詞の体・時制選択",説明する,объясня́ть — объясни́ть,説明する,動詞,объясня́ть,объясни́ть,64,文法II,ロシア語2級;verb;動詞;第64回,要確認,候補
app500_m0028,па́дать — упа́сть,"答え：落ちる／倒れる
品詞：動詞
不完了体：па́дать
完了体：упа́сть
出題回：64
文脈：動詞の体・時制選択",落ちる／倒れる,па́дать — упа́сть,落ちる／倒れる,動詞,па́дать,упа́сть,64,文法II,ロシア語2級;verb;動詞;第64回,要確認,候補
app500_m0029,писа́ть — написа́ть,"答え：書く
品詞：動詞
不完了体：писа́ть
完了体：написа́ть
出題回：64
文脈：動詞の体・時制選択",書く,писа́ть — написа́ть,書く,動詞,писа́ть,написа́ть,64,文法II,ロシア語2級;verb;動詞;第64回,要確認,候補
app500_m0030,смотре́ть — посмотре́ть,"答え：見る
品詞：動詞
不完了体：смотре́ть
完了体：посмотре́ть
出題回：64
文脈：動詞の体・時制選択",見る,смотре́ть — посмотре́ть,見る,動詞,смотре́ть,посмотре́ть,64,文法II,ロシア語2級;verb;動詞;第64回,要確認,候補
app500_m0031,уходи́ть — уйти́,"答え：去る／出て行く
品詞：動詞
不完了体：уходи́ть
完了体：уйти́
出題回：64
文脈：動詞の体・時制選択",去る／出て行く,уходи́ть — уйти́,去る／出て行く,動詞,уходи́ть,уйти́,64,文法II,ロシア語2級;verb;動詞;第64回,要確認,候補
app500_m0032,бра́ть — взять,"答え：取る
品詞：動詞
不完了体：бра́ть
完了体：взять
出題回：84
文脈：動詞の体・時制選択",取る,бра́ть — взять,取る,動詞,бра́ть,взять,84,文法II,ロシア語2級;verb;動詞;第84回,要確認,候補
app500_m0033,встреча́ть — встре́тить,"答え：会う／迎える
品詞：動詞
不完了体：встреча́ть
完了体：встре́тить
出題回：84
文脈：動詞の体・時制選択",会う／迎える,встреча́ть — встре́тить,会う／迎える,動詞,встреча́ть,встре́тить,84,文法II,ロシア語2級;verb;動詞;第84回,要確認,候補
app500_m0034,заходи́ть — зайти́,"答え：立ち寄る／入る
品詞：動詞
不完了体：заходи́ть
完了体：зайти́
出題回：84
文脈：動詞の体・時制選択",立ち寄る／入る,заходи́ть — зайти́,立ち寄る／入る,動詞,заходи́ть,зайти́,84,文法II,ロシア語2級;verb;動詞;第84回,要確認,候補
app500_m0035,изуча́ть — изучи́ть,"答え：学ぶ／研究する
品詞：動詞
不完了体：изуча́ть
完了体：изучи́ть
出題回：84
文脈：動詞の体・時制選択",学ぶ／研究する,изуча́ть — изучи́ть,学ぶ／研究する,動詞,изуча́ть,изучи́ть,84,文法II,ロシア語2級;verb;動詞;第84回,要確認,候補
app500_m0036,ложи́ться — лечь,"答え：横になる／寝る
品詞：動詞
不完了体：ложи́ться
完了体：лечь
出題回：84
文脈：動詞の体・時制選択",横になる／寝る,ложи́ться — лечь,横になる／寝る,動詞,ложи́ться,лечь,84,文法II,ロシア語2級;verb;動詞;第84回,要確認,候補
app500_m0037,начина́ться — нача́ться,"答え：始まる
品詞：動詞
不完了体：начина́ться
完了体：нача́ться
出題回：84
文脈：動詞の体・時制選択",始まる,начина́ться — нача́ться,始まる,動詞,начина́ться,нача́ться,84,文法II,ロシア語2級;verb;動詞;第84回,要確認,候補
app500_m0038,сдава́ть — сдать,"答え：提出する／受験する／引き渡す
品詞：動詞
不完了体：сдава́ть
完了体：сдать
出題回：84
文脈：動詞の体・時制選択",提出する／受験する／引き渡す,сдава́ть — сдать,提出する／受験する／引き渡す,動詞,сдава́ть,сдать,84,文法II,ロシア語2級;verb;動詞;第84回,要確認,候補
app500_m0039,чи́стить — почи́стить,"答え：掃除する／磨く
品詞：動詞
不完了体：чи́стить
完了体：почи́стить
出題回：84
文脈：動詞の体・時制選択",掃除する／磨く,чи́стить — почи́стить,掃除する／磨く,動詞,чи́стить,почи́стить,84,文法II,ロシア語2級;verb;動詞;第84回,要確認,候補
app500_m0040,Земля́,"答え：地球
品詞：名詞
性：女性
出題回：84
文脈：空・大気・太陽光の散乱",地球,Земля́,地球,名詞,,,84,文法I,ロシア語2級;vocab;名詞;第84回,要確認,候補
app500_m0041,Со́лнце,"答え：太陽
品詞：名詞
性：中性
出題回：84
文脈：空・大気・太陽光の散乱",太陽,Со́лнце,太陽,名詞,,,84,文法I,ロシア語2級;vocab;名詞;第84回,要確認,候補
app500_m0042,а́тмосфе́ра,"答え：大気
品詞：名詞
性：女性
出題回：84
文脈：空・大気・太陽光の散乱",大気,а́тмосфе́ра,大気,名詞,,,84,文法I,ロシア語2級;vocab;名詞;第84回,要確認,候補
app500_m0043,прозра́чный,"答え：透明な
品詞：形容詞
出題回：84
文脈：空・大気・太陽光の散乱",透明な,прозра́чный,透明な,形容詞,,,84,文法I,ロシア語2級;vocab;形容詞;第84回,要確認,候補
app500_m0044,плане́та,"答え：惑星
品詞：名詞
性：女性
出題回：84
文脈：地球・惑星",惑星,плане́та,惑星,名詞,,,84,文法I,ロシア語2級;vocab;名詞;第84回,要確認,候補
app500_m0045,челове́ческий глаз,"答え：人間の目
品詞：名詞句
性：男性
出題回：84
文脈：視覚・太陽光",人間の目,челове́ческий глаз,人間の目,名詞句,,,84,文法I,ロシア語2級;vocab;名詞句;第84回,要確認,候補
app500_m0046,па́смурная пого́да,"答え：曇りの天気
品詞：名詞句
性：女性
出題回：84
文脈：天候",曇りの天気,па́смурная пого́да,曇りの天気,名詞句,,,84,文法I,ロシア語2級;vocab;名詞句;第84回,要確認,候補
app500_m0047,горизо́нт,"答え：地平線
品詞：名詞
性：男性
出題回：84
文脈：自然・視界",地平線,горизо́нт,地平線,名詞,,,84,文法I,ロシア語2級;vocab;名詞;第84回,要確認,候補
app500_m0048,тури́ст,"答え：観光客
品詞：名詞
性：男性
出題回：84
文脈：富士山・オーバーツーリズム",観光客,тури́ст,観光客,名詞,,,84,文法III,ロシア語2級;vocab;名詞;第84回,要確認,候補
app500_m0049,Фудзия́ма,"答え：富士山
品詞：固有名詞
性：女性
出題回：84
文脈：富士山・オーバーツーリズム",富士山,Фудзия́ма,富士山,固有名詞,,,84,文法III,ロシア語2級;vocab;固有名詞;第84回,要確認,候補
app500_m0050,смартфо́н,"答え：スマホ
品詞：名詞
性：男性
出題回：84
文脈：夏休み・スマホ利用制限",スマホ,смартфо́н,スマホ,名詞,,,84,露文和訳,ロシア語2級;vocab;名詞;第84回,要確認,候補
app500_m0051,кани́кулы,"答え：休暇／休み
品詞：名詞
出題回：84;76
文脈：夏休み・季節",休暇／休み,кани́кулы,休暇／休み,名詞,,,84;76,露文和訳;聴取,ロシア語2級;vocab;名詞;複数回,要確認,候補
app500_m0052,психо́лог,"答え：心理学者
品詞：名詞
性：男性
出題回：84
文脈：心理学者スミルノワ",心理学者,психо́лог,心理学者,名詞,,,84,露文和訳,ロシア語2級;vocab;名詞;第84回,要確認,候補
app500_m0053,стре́сс,"答え：ストレス
品詞：名詞
性：男性
出題回：84
文脈：夏休み・回復",ストレス,стре́сс,ストレス,名詞,,,84,露文和訳,ロシア語2級;vocab;名詞;第84回,要確認,候補
app500_m0054,тури́ст,"答え：観光客
品詞：名詞
性：男性
出題回：84
文脈：イタリア・スペイン旅行",観光客,тури́ст,観光客,名詞,,,84,和文露訳,ロシア語2級;vocab;名詞;第84回,要確認,候補
app500_m0055,вре́мена го́да,"答え：四季
品詞：名詞句
出題回：76;68
文脈：ロシアの四季",四季,вре́мена го́да,四季,名詞句,,,76;68,聴取,ロシア語2級;vocab;名詞句;複数回,要確認,候補
app500_m0056,зима́,"答え：冬
品詞：名詞
性：女性
出題回：76
文脈：季節",冬,зима́,冬,名詞,,,76,聴取,ロシア語2級;vocab;名詞;第76回,要確認,候補
app500_m0057,весна́,"答え：春
品詞：名詞
性：女性
出題回：76
文脈：季節",春,весна́,春,名詞,,,76,聴取,ロシア語2級;vocab;名詞;第76回,要確認,候補
app500_m0058,ле́то,"答え：夏
品詞：名詞
性：中性
出題回：76
文脈：季節",夏,ле́то,夏,名詞,,,76,聴取,ロシア語2級;vocab;名詞;第76回,要確認,候補
app500_m0059,о́сень,"答え：秋
品詞：名詞
性：女性
出題回：76
文脈：季節",秋,о́сень,秋,名詞,,,76,聴取,ロシア語2級;vocab;名詞;第76回,要確認,候補
app500_m0060,зо́лотая о́сень,"答え：黄金の秋
品詞：名詞句
性：女性
出題回：76
文脈：季節・紅葉",黄金の秋,зо́лотая о́сень,黄金の秋,名詞句,,,76,聴取,ロシア語2級;vocab;名詞句;第76回,要確認,候補
app500_m0061,снег,"答え：雪
品詞：名詞
性：男性
出題回：76
文脈：冬",雪,снег,雪,名詞,,,76,聴取,ロシア語2級;vocab;名詞;第76回,要確認,候補
app500_m0062,лёд,"答え：氷
品詞：名詞
性：男性
出題回：76
文脈：冬",氷,лёд,氷,名詞,,,76,聴取,ロシア語2級;vocab;名詞;第76回,要確認,候補
app500_m0063,ве́лосипе́д,"答え：自転車
品詞：名詞
性：男性
出題回：76
文脈：夏の活動",自転車,ве́лосипе́д,自転車,名詞,,,76,聴取,ロシア語2級;vocab;名詞;第76回,要確認,候補
app500_m0064,пла́вать,"答え：泳ぐ
品詞：動詞
出題回：76
文脈：夏の活動",泳ぐ,пла́вать,泳ぐ,動詞,,,76,聴取,ロシア語2級;vocab;動詞;第76回,要確認,候補
app500_m0065,горо́д,"答え：町／都市
品詞：名詞
性：男性
出題回：76
文脈：私の好きな町",町／都市,горо́д,町／都市,名詞,,,76,口頭作文,ロシア語2級;vocab;名詞;第76回,要確認,候補
app500_m0066,Моско́вский университе́т,"答え：モスクワ大学
品詞：固有名詞句
性：男性
出題回：64
文脈：創立250周年",モスクワ大学,Моско́вский университе́т,モスクワ大学,固有名詞句,,,64,文法I,ロシア語2級;vocab;固有名詞句;第64回,要確認,候補
app500_m0067,университе́т,"答え：大学
品詞：名詞
性：男性
出題回：64
文脈：モスクワ大学",大学,университе́т,大学,名詞,,,64,文法I,ロシア語2級;vocab;名詞;第64回,要確認,候補
app500_m0068,библиоте́ка,"答え：図書館
品詞：名詞
性：女性
出題回：64;86
文脈：大学・本・図書館",図書館,библиоте́ка,図書館,名詞,,,64;86,文法I;頻出語彙,ロシア語2級;vocab;名詞;複数回,要確認,候補
app500_m0069,аудито́рия,"答え：講堂／教室
品詞：名詞
性：女性
出題回：64
文脈：教育棟・講堂",講堂／教室,аудито́рия,講堂／教室,名詞,,,64,文法I,ロシア語2級;vocab;名詞;第64回,要確認,候補
app500_m0070,уче́бный ко́рпус,"答え：教育棟
品詞：名詞句
性：男性
出題回：64
文脈：大学施設",教育棟,уче́бный ко́рпус,教育棟,名詞句,,,64,文法I,ロシア語2級;vocab;名詞句;第64回,要確認,候補
app500_m0071,лаборато́рия,"答え：研究室／実験室
品詞：名詞
性：女性
出題回：64
文脈：大学施設",研究室／実験室,лаборато́рия,研究室／実験室,名詞,,,64,文法I,ロシア語2級;vocab;名詞;第64回,要確認,候補
app500_m0072,подзе́мный гара́ж,"答え：地下駐車場
品詞：名詞句
性：男性
出題回：64
文脈：大学施設",地下駐車場,подзе́мный гара́ж,地下駐車場,名詞句,,,64,文法I,ロシア語2級;vocab;名詞句;第64回,要確認,候補
app500_m0073,уче́бник,"答え：教科書
品詞：名詞
性：男性
出題回：62;64
文脈：日本語教育・大学教科書",教科書,уче́бник,教科書,名詞,,,62;64,文法I,ロシア語2級;vocab;名詞;複数回,要確認,候補
app500_m0074,кла́ссика,"答え：古典
品詞：名詞
性：女性
出題回：64
文脈：大学文学・古典",古典,кла́ссика,古典,名詞,,,64,文法I,ロシア語2級;vocab;名詞;第64回,要確認,候補
app500_m0075,автомоби́ль,"答え：自動車
品詞：名詞
性：男性
出題回：64
文脈：日本の自動車普及",自動車,автомоби́ль,自動車,名詞,,,64,露文和訳,ロシア語2級;vocab;名詞;第64回,要確認,候補
app500_m0076,стира́льная маши́на,"答え：洗濯機
品詞：名詞句
性：女性
出題回：64
文脈：三種の神器",洗濯機,стира́льная маши́на,洗濯機,名詞句,,,64,露文和訳,ロシア語2級;vocab;名詞句;第64回,要確認,候補
app500_m0077,холоди́льник,"答え：冷蔵庫
品詞：名詞
性：男性
出題回：64
文脈：三種の神器",冷蔵庫,холоди́льник,冷蔵庫,名詞,,,64,露文和訳,ロシア語2級;vocab;名詞;第64回,要確認,候補
app500_m0078,чёрно-бе́лый телеви́зор,"答え：白黒テレビ
品詞：名詞句
性：男性
出題回：64
文脈：三種の神器",白黒テレビ,чёрно-бе́лый телеви́зор,白黒テレビ,名詞句,,,64,露文和訳,ロシア語2級;vocab;名詞句;第64回,要確認,候補
app500_m0079,бума́жная кни́га,"答え：紙の本
品詞：名詞句
性：女性
出題回：64
文脈：紙の本と電子書籍",紙の本,бума́жная кни́га,紙の本,名詞句,,,64,和文露訳,ロシア語2級;vocab;名詞句;第64回,要確認,候補
app500_m0080,электро́нная кни́га,"答え：電子書籍
品詞：名詞句
性：女性
出題回：64
文脈：紙の本と電子書籍",電子書籍,электро́нная кни́га,電子書籍,名詞句,,,64,和文露訳,ロシア語2級;vocab;名詞句;第64回,要確認,候補
app500_m0081,неви́димая нить,"答え：見えない糸
品詞：名詞句
性：女性
出題回：64
文脈：紙の本の温もり",見えない糸,неви́димая нить,見えない糸,名詞句,,,64,和文露訳,ロシア語2級;vocab;名詞句;第64回,要確認,候補
app500_m0082,робот,"答え：ロボット
品詞：名詞
性：男性
出題回：64
文脈：ロボットについて",ロボット,робот,ロボット,名詞,,,64,口頭作文,ロシア語2級;vocab;名詞;第64回,要確認,候補
app500_m0083,япо́нский язы́к,"答え：日本語
品詞：名詞句
性：男性
出題回：62
文脈：日本語教育",日本語,япо́нский язы́к,日本語,名詞句,,,62,文法I,ロシア語2級;vocab;名詞句;第62回,要確認,候補
app500_m0084,филоло́гия,"答え：文献学
品詞：名詞
性：女性
出題回：62
文脈：日本語教育・専攻",文献学,филоло́гия,文献学,名詞,,,62,文法I,ロシア語2級;vocab;名詞;第62回,要確認,候補
app500_m0085,интерне́т,"答え：インターネット
品詞：名詞
性：男性
出題回：62
文脈：教材・交流",インターネット,интерне́т,インターネット,名詞,,,62,文法I,ロシア語2級;vocab;名詞;第62回,要確認,候補
app500_m0086,о́бмен,"答え：交流／交換
品詞：名詞
性：男性
出題回：62
文脈：日本との交流",交流／交換,о́бмен,交流／交換,名詞,,,62,文法I,ロシア語2級;vocab;名詞;第62回,要確認,候補
app500_m0087,слова́рный запа́с,"答え：語彙力／語彙量
品詞：名詞句
性：男性
出題回：62
文脈：語彙学習",語彙力／語彙量,слова́рный запа́с,語彙力／語彙量,名詞句,,,62,露文和訳,ロシア語2級;vocab;名詞句;第62回,要確認,候補
app500_m0088,повторе́ние,"答え：反復
品詞：名詞
性：中性
出題回：62
文脈：語彙学習",反復,повторе́ние,反復,名詞,,,62,露文和訳,ロシア語2級;vocab;名詞;第62回,要確認,候補
app500_m0089,систе́матически,"答え：体系的に
品詞：副詞
出題回：62
文脈：毎日学ぶ",体系的に,систе́матически,体系的に,副詞,,,62,露文和訳,ロシア語2級;vocab;副詞;第62回,要確認,候補
app500_m0090,общежи́тие,"答え：寮
品詞：名詞
性：中性
出題回：62
文脈：大学生アンドレイ",寮,общежи́тие,寮,名詞,,,62,聴取,ロシア語2級;vocab;名詞;第62回,要確認,候補
app500_m0091,кварти́ра,"答え：アパート／住居
品詞：名詞
性：女性
出題回：62
文脈：大学生アンドレイ",アパート／住居,кварти́ра,アパート／住居,名詞,,,62,聴取,ロシア語2級;vocab;名詞;第62回,要確認,候補
app500_m0092,парк,"答え：公園
品詞：名詞
性：男性
出題回：62
文脈：大学近くの小さなアパート",公園,парк,公園,名詞,,,62,聴取,ロシア語2級;vocab;名詞;第62回,要確認,候補
app500_m0093,письмо́,"答え：手紙
品詞：名詞
性：中性
出題回：62
文脈：手紙について",手紙,письмо́,手紙,名詞,,,62,口頭作文,ロシア語2級;vocab;名詞;第62回,要確認,候補
app500_m0094,ко́шка,"答え：猫
品詞：名詞
性：女性
出題回：78
文脈：猫カフェと動物保護法",猫,ко́шка,猫,名詞,,,78,露文和訳,ロシア語2級;vocab;名詞;第78回,要確認,候補
app500_m0095,кафе́,"答え：カフェ
品詞：名詞
性：中性
出題回：78
文脈：猫カフェ",カフェ,кафе́,カフェ,名詞,,,78,露文和訳,ロシア語2級;vocab;名詞;第78回,要確認,候補
app500_m0096,защи́та живо́тных,"答え：動物保護
品詞：名詞句
性：女性
出題回：78
文脈：動物保護法",動物保護,защи́та живо́тных,動物保護,名詞句,,,78,露文和訳,ロシア語2級;vocab;名詞句;第78回,要確認,候補
app500_m0097,чита́ть,"答え：読む
品詞：動詞
出題回：78
文脈：読書嫌いの克服",読む,чита́ть,読む,動詞,,,78,和文露訳,ロシア語2級;vocab;動詞;第78回,要確認,候補
app500_m0098,телефо́н,"答え：電話
品詞：名詞
性：男性
出題回：78
文脈：私と電話",電話,телефо́н,電話,名詞,,,78,口頭作文,ロシア語2級;vocab;名詞;第78回,要確認,候補
app500_m0099,гео́лог,"答え：地質学者
品詞：名詞
性：男性
出題回：78
文脈：ヴィクトルと地質学者",地質学者,гео́лог,地質学者,名詞,,,78,聴取,ロシア語2級;vocab;名詞;第78回,要確認,候補
app500_m0100,а́нима́ция,"答え：アニメーション
品詞：名詞
性：女性
出題回：86
文脈：第86回テーマ語彙",アニメーション,а́нима́ция,アニメーション,名詞,,,86,頻出語彙,ロシア語2級;vocab;名詞;第86回,要確認,候補
app500_m0101,гриб,"答え：きのこ
品詞：名詞
性：男性
出題回：86
文脈：第86回テーマ語彙",きのこ,гриб,きのこ,名詞,,,86,頻出語彙,ロシア語2級;vocab;名詞;第86回,要確認,候補
app500_m0102,аре́ст,"答え：逮捕
品詞：名詞
性：男性
出題回：60
文脈：第60回テーマ語彙",逮捕,аре́ст,逮捕,名詞,,,60,頻出語彙,ロシア語2級;vocab;名詞;第60回,要確認,候補
app500_m0103,боя́ться,"答え：〜を恐れる
品詞：動詞
格支配：生格
出題回：78;過去弱点
文脈：боя́ться + 生格",〜を恐れる,боя́ться,〜を恐れる,動詞,,,78;過去弱点,格支配,ロシア語2級;case;動詞;複数回,要確認,候補
app500_m0104,ждать,"答え：〜を待つ
品詞：動詞
格支配：生格
出題回：78;過去弱点
文脈：ждать + 生格",〜を待つ,ждать,〜を待つ,動詞,,,78;過去弱点,格支配,ロシア語2級;case;動詞;複数回,要確認,候補
app500_m0105,интересова́ться,"答え：〜に興味を持つ
品詞：動詞
格支配：造格
出題回：2級共通
文脈：интересоваться + 造格",〜に興味を持つ,интересова́ться,〜に興味を持つ,動詞,,,2級共通,格支配,ロシア語2級;case;動詞;第2級共通回,要確認,候補
app500_m0106,ду́мать о + Предл.,"答え：〜について考える
品詞：表現
格支配：前置格
出題回：2級共通
文脈：о + 前置格",〜について考える,ду́мать о + Предл.,〜について考える,表現,,,2級共通,格支配,ロシア語2級;case;表現;第2級共通回,要確認,候補
app500_m0107,第60回 未整理語彙,"答え：第60回の未整理語彙を追加
出題回：60
文脈：この回の文法I〜IV・露文和訳・和文露訳・聴取・口頭作文から追加していく",第60回の未整理語彙を追加,第60回 未整理語彙,第60回の未整理語彙を追加,,,,60,未整理,ロシア語2級;todo;第60回,要確認,除外
