master_id,entry_type,russian,russian_no_accent,japanese,pos,gender,number,imperfective,perfective,aspect_pair_key,case_pattern,source_rounds,source_sections,source_context,frequency,duplicate_group,level,category,card_direction,front,answer,back,tags,needs_review,review_status,review_note,include_in_app,original_card_ids,confidence
m0031,verb_pair,уходи́ть — уйти́,уходить — уити,去る／出て行く,動詞,,,уходи́ть,уйти́,уходить—уити,,64,文法II,動詞の体・時制選択,1,уходить—уити,2,verb,ru→ja / ja→ru候補,уходи́ть — уйти́,去る／出て行く,"答え：去る／出て行く
品詞：動詞
不完了体：уходи́ть
完了体：уйти́
出題回：64
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第64回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0032,verb_pair,бра́ть — взять,брать — взять,取る,動詞,,,бра́ть,взять,брать—взять,,84,文法II,動詞の体・時制選択,1,брать—взять,2,verb,ru→ja / ja→ru候補,бра́ть — взять,取る,"答え：取る
品詞：動詞
不完了体：бра́ть
完了体：взять
出題回：84
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第84回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0033,verb_pair,встреча́ть — встре́тить,встречать — встретить,会う／迎える,動詞,,,встреча́ть,встре́тить,встречать—встретить,,84,文法II,動詞の体・時制選択,1,встречать—встретить,2,verb,ru→ja / ja→ru候補,встреча́ть — встре́тить,会う／迎える,"答え：会う／迎える
品詞：動詞
不完了体：встреча́ть
完了体：встре́тить
出題回：84
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第84回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0034,verb_pair,заходи́ть — зайти́,заходить — заити,立ち寄る／入る,動詞,,,заходи́ть,зайти́,заходить—заити,,84,文法II,動詞の体・時制選択,1,заходить—заити,2,verb,ru→ja / ja→ru候補,заходи́ть — зайти́,立ち寄る／入る,"答え：立ち寄る／入る
品詞：動詞
不完了体：заходи́ть
完了体：зайти́
出題回：84
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第84回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0035,verb_pair,изуча́ть — изучи́ть,изучать — изучить,学ぶ／研究する,動詞,,,изуча́ть,изучи́ть,изучать—изучить,,84,文法II,動詞の体・時制選択,1,изучать—изучить,2,verb,ru→ja / ja→ru候補,изуча́ть — изучи́ть,学ぶ／研究する,"答え：学ぶ／研究する
品詞：動詞
不完了体：изуча́ть
完了体：изучи́ть
出題回：84
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第84回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0036,verb_pair,ложи́ться — лечь,ложиться — лечь,横になる／寝る,動詞,,,ложи́ться,лечь,ложиться—лечь,,84,文法II,動詞の体・時制選択,1,ложиться—лечь,2,verb,ru→ja / ja→ru候補,ложи́ться — лечь,横になる／寝る,"答え：横になる／寝る
品詞：動詞
不完了体：ложи́ться
完了体：лечь
出題回：84
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第84回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0037,verb_pair,начина́ться — нача́ться,начинаться — начаться,始まる,動詞,,,начина́ться,нача́ться,начинаться—начаться,,84,文法II,動詞の体・時制選択,1,начинаться—начаться,2,verb,ru→ja / ja→ru候補,начина́ться — нача́ться,始まる,"答え：始まる
品詞：動詞
不完了体：начина́ться
完了体：нача́ться
出題回：84
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第84回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0038,verb_pair,сдава́ть — сдать,сдавать — сдать,提出する／受験する／引き渡す,動詞,,,сдава́ть,сдать,сдавать—сдать,,84,文法II,動詞の体・時制選択,1,сдавать—сдать,2,verb,ru→ja / ja→ru候補,сдава́ть — сдать,提出する／受験する／引き渡す,"答え：提出する／受験する／引き渡す
品詞：動詞
不完了体：сдава́ть
完了体：сдать
出題回：84
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第84回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0039,verb_pair,чи́стить — почи́стить,чистить — почистить,掃除する／磨く,動詞,,,чи́стить,почи́стить,чистить—почистить,,84,文法II,動詞の体・時制選択,1,чистить—почистить,2,verb,ru→ja / ja→ru候補,чи́стить — почи́стить,掃除する／磨く,"答え：掃除する／磨く
品詞：動詞
不完了体：чи́стить
完了体：почи́стить
出題回：84
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第84回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0040,vocab,Земля́,Земля,地球,名詞,女性,,,,,,84,文法I,空・大気・太陽光の散乱,1,земля,1,vocab,ru→ja / ja→ru候補,Земля́,地球,"答え：地球
品詞：名詞
性：女性
出題回：84
文脈：空・大気・太陽光の散乱",ロシア語2級;vocab;名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0041,vocab,Со́лнце,Солнце,太陽,名詞,中性,,,,,,84,文法I,空・大気・太陽光の散乱,1,солнце,1,vocab,ru→ja / ja→ru候補,Со́лнце,太陽,"答え：太陽
品詞：名詞
性：中性
出題回：84
文脈：空・大気・太陽光の散乱",ロシア語2級;vocab;名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0042,vocab,а́тмосфе́ра,атмосфера,大気,名詞,女性,,,,,,84,文法I,空・大気・太陽光の散乱,1,атмосфера,1,vocab,ru→ja / ja→ru候補,а́тмосфе́ра,大気,"答え：大気
品詞：名詞
性：女性
出題回：84
文脈：空・大気・太陽光の散乱",ロシア語2級;vocab;名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0043,vocab,прозра́чный,прозрачныи,透明な,形容詞,,,,,,,84,文法I,空・大気・太陽光の散乱,1,прозрачныи,1,vocab,ru→ja / ja→ru候補,прозра́чный,透明な,"答え：透明な
品詞：形容詞
出題回：84
文脈：空・大気・太陽光の散乱",ロシア語2級;vocab;形容詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0044,vocab,плане́та,планета,惑星,名詞,女性,,,,,,84,文法I,地球・惑星,1,планета,1,vocab,ru→ja / ja→ru候補,плане́та,惑星,"答え：惑星
品詞：名詞
性：女性
出題回：84
文脈：地球・惑星",ロシア語2級;vocab;名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0045,vocab,челове́ческий глаз,человеческии глаз,人間の目,名詞句,男性,,,,,,84,文法I,視覚・太陽光,1,человеческии_глаз,2,vocab,ru→ja / ja→ru候補,челове́ческий глаз,人間の目,"答え：人間の目
品詞：名詞句
性：男性
出題回：84
文脈：視覚・太陽光",ロシア語2級;vocab;名詞句;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0046,vocab,па́смурная пого́да,пасмурная погода,曇りの天気,名詞句,女性,,,,,,84,文法I,天候,1,пасмурная_погода,2,vocab,ru→ja / ja→ru候補,па́смурная пого́да,曇りの天気,"答え：曇りの天気
品詞：名詞句
性：女性
出題回：84
文脈：天候",ロシア語2級;vocab;名詞句;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0047,vocab,горизо́нт,горизонт,地平線,名詞,男性,,,,,,84,文法I,自然・視界,1,горизонт,2,vocab,ru→ja / ja→ru候補,горизо́нт,地平線,"答え：地平線
品詞：名詞
性：男性
出題回：84
文脈：自然・視界",ロシア語2級;vocab;名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0048,vocab,тури́ст,турист,観光客,名詞,男性,,,,,,84,文法III,富士山・オーバーツーリズム,1,турист,1,vocab,ru→ja / ja→ru候補,тури́ст,観光客,"答え：観光客
品詞：名詞
性：男性
出題回：84
文脈：富士山・オーバーツーリズム",ロシア語2級;vocab;名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0049,vocab,Фудзия́ма,Фудзияма,富士山,固有名詞,女性,,,,,,84,文法III,富士山・オーバーツーリズム,1,фудзияма,1,vocab,ru→ja / ja→ru候補,Фудзия́ма,富士山,"答え：富士山
品詞：固有名詞
性：女性
出題回：84
文脈：富士山・オーバーツーリズム",ロシア語2級;vocab;固有名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0050,vocab,смартфо́н,смартфон,スマホ,名詞,男性,,,,,,84,露文和訳,夏休み・スマホ利用制限,1,смартфон,1,vocab,ru→ja / ja→ru候補,смартфо́н,スマホ,"答え：スマホ
品詞：名詞
性：男性
出題回：84
文脈：夏休み・スマホ利用制限",ロシア語2級;vocab;名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0051,vocab,кани́кулы,каникулы,休暇／休み,名詞,,複数,,,,,84;76,露文和訳;聴取,夏休み・季節,2,каникулы,1,vocab,ru→ja / ja→ru候補,кани́кулы,休暇／休み,"答え：休暇／休み
品詞：名詞
出題回：84;76
文脈：夏休み・季節",ロシア語2級;vocab;名詞;複数回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0052,vocab,психо́лог,психолог,心理学者,名詞,男性,,,,,,84,露文和訳,心理学者スミルノワ,1,психолог,2,vocab,ru→ja / ja→ru候補,психо́лог,心理学者,"答え：心理学者
品詞：名詞
性：男性
出題回：84
文脈：心理学者スミルノワ",ロシア語2級;vocab;名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0053,vocab,стре́сс,стресс,ストレス,名詞,男性,,,,,,84,露文和訳,夏休み・回復,1,стресс,1,vocab,ru→ja / ja→ru候補,стре́сс,ストレス,"答え：ストレス
品詞：名詞
性：男性
出題回：84
文脈：夏休み・回復",ロシア語2級;vocab;名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0054,vocab,тури́ст,турист,観光客,名詞,男性,,,,,,84,和文露訳,イタリア・スペイン旅行,1,турист,1,vocab,ru→ja / ja→ru候補,тури́ст,観光客,"答え：観光客
品詞：名詞
性：男性
出題回：84
文脈：イタリア・スペイン旅行",ロシア語2級;vocab;名詞;第84回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0055,vocab,вре́мена го́да,времена года,四季,名詞句,,複数,,,,,76;68,聴取,ロシアの四季,2,времена_года,1,vocab,ru→ja / ja→ru候補,вре́мена го́да,四季,"答え：四季
品詞：名詞句
出題回：76;68
文脈：ロシアの四季",ロシア語2級;vocab;名詞句;複数回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0056,vocab,зима́,зима,冬,名詞,女性,,,,,,76,聴取,季節,1,зима,1,vocab,ru→ja / ja→ru候補,зима́,冬,"答え：冬
品詞：名詞
性：女性
出題回：76
文脈：季節",ロシア語2級;vocab;名詞;第76回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0057,vocab,весна́,весна,春,名詞,女性,,,,,,76,聴取,季節,1,весна,1,vocab,ru→ja / ja→ru候補,весна́,春,"答え：春
品詞：名詞
性：女性
出題回：76
文脈：季節",ロシア語2級;vocab;名詞;第76回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0058,vocab,ле́то,лето,夏,名詞,中性,,,,,,76,聴取,季節,1,лето,1,vocab,ru→ja / ja→ru候補,ле́то,夏,"答え：夏
品詞：名詞
性：中性
出題回：76
文脈：季節",ロシア語2級;vocab;名詞;第76回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
m0059,vocab,о́сень,осень,秋,名詞,女性,,,,,,76,聴取,季節,1,осень,1,vocab,ru→ja / ja→ru候補,о́сень,秋,"答え：秋
品詞：名詞
性：女性
出題回：76
文脈：季節",ロシア語2級;vocab;名詞;第76回,要確認,未確認,旧CSV/過去メモからの種データ。アクセント・品詞・訳語を要確認。,候補,,中
